Palavra,Link,Instituicao
a,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abacate,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abacateSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abacaxi,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abacaxiSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abafar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abafarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abaixo,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abaixoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abaixo-assinado,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abaixo-assinadoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abajur,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abajurSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abanar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abanarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abandonar1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abandonar1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abandonar2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abandonar2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abarrotado,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abarrotadoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abastado,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abastadoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abatido,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abatidoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abatimento,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abatimentoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abdicar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abdicarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abdomen,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abdomenSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abelha,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abelhaSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abencoar1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abencoar1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abencoar2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abencoar2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
aberto1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aberto1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
aberto2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aberto2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abertura,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aberturaSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abismar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abismarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abobora1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abobora1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abobora2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abobora2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abobrinha,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abobrinhaSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abocanhar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abocanharSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abolicao,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abolicaoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abonar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abonarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abono,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abonoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
aborrecer,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aborrecerSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
aborrecido,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aborrecidoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abortar1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abortar1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abortar2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abortar2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
aborto,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abortar1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abotoar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abotoarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abracadabra,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abracadabraSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abracar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abracarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abraco,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abracoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abraco2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abraco2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abreviar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abreviarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abridor de lata1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abridor_de_lata1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abridor de lata2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abridor_de_lata2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abrigar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrigarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abrigo,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrigoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abril,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrilSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abrir1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrir1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abrir2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrir2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abrir3,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrir3Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abrir4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrir4Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abrir5,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrir5Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
absolver,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/absolverSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
absorvente higienico,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/absorvente_higienicoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
absorver1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/absorver1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
absorver2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/absorver2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abster,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/absterSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
absurdo,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/absurdo1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abusado,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abusadoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
abusar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abusarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acabar1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acabar1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acabar2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acabar2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acabar3,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acabar3Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acabar4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acabar4Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acai,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acaiSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acalentar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acalentarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acalmar1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acalmar1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acalmar2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acalmar2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acampamento,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acampamentoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acampar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acamparSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acanhado,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acanhadoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acariciar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acariciarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acasalar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acasalarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acatar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acatarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acautelar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acautelarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
aceitar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aceitarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acelerar1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acelerar1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acelerar2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acelerar2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acenar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acenarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acender farol,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acender3Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acender isqueiro,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acender4Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acender luz,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acender2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acender vela,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acender1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acento1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acento1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acento2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acento2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acercar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acercarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acertar1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acertar1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acertar2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acertar2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
aceso,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acesoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acesso1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acesso1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acesso2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acesso2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
achar1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/achar1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
achar2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/achar2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acidente1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acidente1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acidente2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acidente2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acima,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acimaSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
aclive,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acliveSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acne,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acneSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
aco,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acoitar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acoitarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acoite,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acoiteSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acomodado,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acomodadoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acomodar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acomodarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acompanhado,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acompanhadoSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acompanhar1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acompanhar1Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
acompanhar2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/acompanhar2Sm_Prog001.mp4,ACESSIBILIDADE_BRASIL
aconchegar,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aconchegarSm_Prog001.mp4,ACESSIBILIDADE_BRASIL
